used_memory,heap_memory,free_blocks,external_fragmentation,internal_fragmentation
59984,88608,10,0.596090,56
63216,88608,10,0.679931,56
65232,88608,10,0.648852,56
67968,88608,10,0.680381,56
66544,88608,9,0.704682,56
69448,88608,9,0.653521,56
72224,88608,9,0.783343,56
73544,88608,9,0.760274,56
74848,88608,9,0.732081,56
75944,88608,8,0.702473,104
76920,88608,8,0.669811,104
75968,88608,8,0.701782,104
73000,88608,8,0.644484,104
77008,88608,8,0.668389,104
79648,88608,8,0.601212,104
81456,88608,8,0.726813,104
85528,92728,8,0.726813,104
85640,92728,8,0.717277,104
84240,92728,9,0.759947,56
84832,92728,9,0.759644,56
87912,95856,9,0.759644,56
87800,95856,9,0.766571,56
88272,95856,9,0.742448,56
90296,97928,9,0.742448,56
91904,99584,9,0.742448,56
93472,101200,9,0.742448,56
91664,101200,9,0.617886,56
88400,101200,9,0.607843,56
91304,101200,9,0.636865,56
92960,101200,9,0.766234,56
95424,103712,9,0.766234,56
96584,103712,9,0.758303,56
93808,103712,10,0.609674,56
94856,103712,9,0.542216,56
97784,106688,9,0.542216,56
94856,106688,10,0.674377,56
92880,106688,10,0.734205,56
91224,106688,10,0.769811,56
94352,109864,10,0.769811,56
93920,109864,10,0.778182,56
94800,109864,10,0.761408,56
98384,113496,10,0.761408,56
101576,116736,10,0.761408,56
105032,120240,10,0.761408,56
101840,120240,11,0.793585,56
100232,120240,12,0.813027,56
97496,120240,13,0.838853,56
96616,120240,13,0.846065,56
96552,120240,14,0.846538,56
93200,120240,15,0.861212,56
95424,120240,15,0.846801,56
92960,120240,15,0.776976,56
93848,120240,15,0.768076,56
95952,120240,15,0.744649,56
91880,120240,15,0.786029,56
94568,120240,15,0.760226,56
97368,120240,15,0.725806,56
94288,120240,15,0.763149,56
96840,120240,15,0.732914,56
95568,120240,15,0.749170,56
99048,120240,15,0.700441,56
102952,120240,15,0.775338,56
104688,120240,15,0.743078,56
103368,120240,16,0.767753,56
105240,120240,16,0.730041,56
106120,120240,16,0.707048,56
108592,120240,16,0.808023,56
109840,120240,15,0.773903,72
113008,123456,15,0.773903,72
112120,123456,16,0.799000,72
109432,123456,16,0.741431,72
112816,126888,16,0.741431,72
115024,126888,16,0.810377,72
114432,126888,17,0.822751,72
112864,126888,17,0.698353,72
109632,126888,17,0.701604,72
111480,126888,17,0.732936,72
115560,131016,17,0.732936,72
117760,131016,17,0.671824,72
118264,131016,17,0.652286,72
120232,131016,17,0.794928,72
117432,131016,17,0.707278,64
118536,131016,17,0.798214,64
117488,131016,18,0.819345,64
114688,131016,19,0.781387,64
118776,135152,19,0.781387,64
117528,135152,20,0.801023,48
115264,135152,20,0.829102,48
112624,135152,19,0.683264,48
111968,135152,18,0.695250,48
111088,135152,18,0.708846,48
113768,135152,17,0.665636,56
117560,135152,17,0.844731,56
117664,135152,17,0.843059,56
120232,137768,17,0.843059,56
123928,141512,17,0.843059,56
125528,141512,17,0.822322,56
123424,141512,17,0.770788,56
123864,141512,17,0.762875,56
126168,141512,17,0.811948,56
122472,141512,18,0.761240,56
122368,141512,18,0.763562,56
124352,141512,18,0.728235,56
124200,141512,19,0.731239,56
126848,141512,19,0.865412,56
128328,141512,18,0.862040,64
129648,141512,17,0.846751,64
133256,145168,17,0.846751,64
134944,146904,17,0.846751,64
135104,146904,17,0.842786,64
138936,150784,17,0.842786,64
142584,154480,17,0.842786,64
142480,154480,16,0.846602,64
143952,156000,16,0.846602,64
141728,156000,16,0.760274,64
143328,156000,16,0.857401,64
141728,156000,16,0.828006,64
145416,159736,16,0.828006,64
143392,159736,16,0.734901,64
144968,159736,16,0.695620,64
148592,163408,16,0.695620,64
145688,163408,16,0.760207,64
142000,163408,17,0.790455,64
143472,163408,17,0.770647,64
144080,163408,17,0.760892,64
145808,163408,17,0.729777,64
142880,163408,18,0.777510,64
141400,163408,19,0.795837,56
142944,163408,19,0.776105,56
139816,163408,19,0.762622,56
135896,163408,19,0.789634,56
138424,163408,19,0.778327,56
141568,163408,19,0.793366,56
141792,163408,19,0.790168,56
143032,163408,19,0.773576,56
143280,163408,18,0.770075,56
143872,163408,18,0.760519,56
144984,163408,18,0.741011,56
141376,163408,18,0.739830,56
141152,163408,19,0.743046,56
142600,163408,19,0.719923,56
143504,163408,19,0.702910,56
144976,163408,18,0.672113,56
143432,163408,18,0.705167,56
140264,163408,19,0.754430,56
137040,163408,20,0.790119,56
139480,163408,20,0.763607,56
138504,163408,20,0.775290,56
138936,163408,20,0.769960,56
140808,163408,20,0.745852,56
139904,163408,20,0.758406,56
140384,163408,20,0.751601,56
136376,163408,20,0.768070,56
132472,163408,20,0.802333,56
130488,163408,20,0.816287,56
131288,163408,20,0.815292,56
131992,163408,19,0.810294,88
132832,163408,19,0.803892,88
131736,163408,20,0.812063,40
135760,163408,20,0.800889,40
139640,163408,20,0.810444,40
141096,163408,20,0.794563,40
142216,163408,19,0.780581,64
143888,163408,19,0.755567,64
145464,163408,19,0.726084,64
144352,163408,20,0.746981,64
144416,163408,19,0.745585,80
146184,163408,19,0.709148,80
148888,163408,19,0.863820,80
152216,166784,19,0.863820,80
155208,169824,19,0.863820,80
158416,173080,19,0.863820,80
161880,176592,19,0.863820,80
161632,176592,19,0.867762,80
165648,180656,19,0.867762,80
168736,183792,19,0.867762,80
167200,183792,20,0.869388,80
164112,183792,21,0.792026,80
166096,183792,21,0.880150,80
165504,183792,21,0.885850,80
169504,187840,21,0.885850,80
168344,187840,21,0.895254,80
171376,190920,21,0.895254,80
167464,190920,21,0.777491,80
166144,190920,22,0.792218,80
163112,190920,23,0.819638,80
160408,190920,23,0.838930,80
159928,190920,23,0.842169,80
159456,190920,24,0.844957,80
160128,190920,24,0.840664,80
163680,190920,24,0.835416,80
160096,190920,25,0.858110,80
156008,190920,26,0.864096,80
152360,190920,27,0.878795,80
149152,190920,28,0.889322,80
149296,190920,28,0.888744,80
146984,190920,29,0.895330,80
142968,190920,30,0.905089,80
144280,190920,30,0.901995,80
144608,190920,30,0.901103,80
147040,190920,30,0.894791,80
149408,190920,30,0.889791,80
149344,190920,31,0.890033,64
151768,190920,31,0.882049,64
151968,190920,31,0.881183,64
150232,190920,31,0.887140,64
151888,190920,31,0.881464,64
154488,190920,31,0.871414,64
157640,190920,31,0.856735,64
159024,190920,31,0.849023,64
159872,190920,30,0.843905,88
162368,190920,30,0.869220,88
162592,190920,30,0.867668,88
162792,190920,30,0.866220,88
164352,190920,30,0.856003,88
165616,190920,29,0.846559,120
169448,194800,29,0.846559,120
169744,194800,29,0.843840,120
171488,194800,29,0.916478,120
168920,194800,29,0.867589,120
170504,194800,29,0.920894,120
172288,196632,29,0.920894,120
171680,196632,30,0.923397,120
171736,196632,29,0.923077,144
173720,198664,29,0.923077,144
171280,198664,29,0.859785,144
174392,201824,29,0.859785,144
178232,205712,29,0.859785,144
174768,205712,29,0.859962,144
178328,209320,29,0.859962,144
180512,209320,29,0.846315,144
178640,209320,29,0.858202,144
178792,209320,29,0.857050,144
177688,209320,30,0.863184,144
174128,209320,31,0.878449,144
170288,209320,31,0.775500,144
173528,209320,31,0.750803,144
176888,209320,31,0.847432,144
175200,209320,31,0.856819,144
175376,209320,31,0.855673,144
176808,209320,31,0.847616,144
177656,209320,31,0.842286,144
174200,209320,31,0.856593,144
173352,209320,32,0.860763,120
171768,209320,32,0.867948,120
172688,209320,32,0.863779,120
171840,209320,32,0.867647,120
167960,209320,32,0.819842,120
170552,209320,32,0.805359,120
172552,209320,32,0.792414,120
174184,209320,32,0.838142,120
175296,209320,32,0.831425,120
176808,209320,31,0.821623,144
179992,209320,31,0.825742,144
181496,209320,31,0.884985,144
185368,213240,31,0.884985,144
187432,213240,31,0.924180,144
191328,217184,31,0.924180,144
187816,217184,32,0.847516,144
191096,217184,32,0.924888,144
194344,220480,32,0.924888,144
194168,220480,32,0.925733,144
190088,220480,33,0.830057,144
191776,220480,33,0.894756,144
191984,220480,33,0.893532,144
191760,220480,34,0.894604,144
191560,220480,33,0.895989,144
192728,220480,33,0.890056,144
194480,220480,33,0.924180,144
195712,220480,33,0.919298,144
192640,220480,33,0.804869,144
188744,220480,33,0.835283,144
187272,220480,33,0.844617,144
188432,220480,33,0.837289,144
191472,220480,33,0.823509,144
188568,220480,33,0.843956,144
185424,220480,33,0.850725,144
188096,220480,33,0.835080,144
186248,220480,33,0.846309,144
187216,220480,33,0.840489,144
183736,220480,33,0.859025,144
183032,220480,33,0.862574,112
183752,220480,33,0.859099,112
183832,220480,33,0.858503,112
184920,220480,32,0.853143,128
182720,220480,32,0.863660,128
184440,220480,32,0.855523,128
184984,220480,32,0.852576,128
185576,220480,32,0.849253,128
187760,220480,32,0.836391,128
186088,220480,33,0.846220,128
184824,220480,34,0.853062,96
184352,220480,34,0.855640,96
186664,220480,34,0.843155,96
188736,220480,34,0.914177,96
187304,220480,34,0.903933,96
187624,220480,34,0.902588,96
187800,220480,33,0.901871,112
188952,220480,33,0.897139,112
